Graded Commit:3912e89ce600d9cc78513fe884139e42d1e28bb0

TEST NAME, POINTS,OUT OF
tracker_suite/cancellation_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/many_workers_many_trivial_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/many_workers_several_crypto_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/many_workers_several_mixed_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/one_worker_multi_crypto_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/one_worker_multi_trivial_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/one_worker_one_crypto_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/one_worker_one_trivial_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/start_end_test,1,1,
tracker_suite/two_workers_multi_crypto_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/two_workers_multi_trivial_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/two_workers_one_crypto_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
tracker_suite/two_workers_one_trivial_test,0,1,1 assertion(s) failed.: tests/__helper.c:21: The test driver returned an error (-1)
total,1,13
